============================================================
  Generated by:           Genus(TM) Synthesis Solution 23.12-s086_1
  Generated on:           Oct 09 2025  02:15:45 am
  Module:                 neuron_intra_Nbits
  Operating conditions:   PVT_0P9V_125C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                    Leakage    Internal   
   Gate     Instances     Area    Power (nW)  Power (nW)      Library    
-------------------------------------------------------------------------
ACHCONX2           39     123.376     13.092     9779.184    slow_vdd1v0 
ADDFHX1           129     242.649     17.439    17273.573    slow_vdd1v0 
ADDFHX2           110     225.720     19.726    23202.360    slow_vdd1v0 
ADDFHXL             2       3.762      0.254      249.205    slow_vdd1v0 
ADDFX1          31690   40642.425   3235.678  4536959.281    slow_vdd1v0 
ADDFX2              4       7.866      0.589      781.728    slow_vdd1v0 
ADDHX1             78      73.359      7.356     9488.560    slow_vdd1v0 
AND2X1            219      74.898      7.478     4491.485    slow_vdd1v0 
AND2X2             16       6.840      0.885      407.944    slow_vdd1v0 
AND2X4              9       6.156      1.066      449.830    slow_vdd1v0 
AND2X6             12      11.286      2.377      932.311    slow_vdd1v0 
AND2X8             24      26.676      5.954     2329.634    slow_vdd1v0 
AND3X1             67      40.099      2.422     1220.838    slow_vdd1v0 
AND3X2              1       0.684      0.058       28.101    slow_vdd1v0 
AND3X4              4       3.078      0.493      213.781    slow_vdd1v0 
AND3XL             16       8.208      0.432      312.561    slow_vdd1v0 
AND4X1              1       0.599      0.042      162.505    slow_vdd1v0 
AND4XL              2       1.197      0.054        0.010    slow_vdd1v0 
AO21X1            525     314.213     20.577    12870.667    slow_vdd1v0 
AO22X1          10778    7372.152    460.842   302908.388    slow_vdd1v0 
AO22X2             69      53.095      4.445     2753.455    slow_vdd1v0 
AO22X4              1       0.941      0.138       73.360    slow_vdd1v0 
AOI21X1            38      16.245      1.161      638.845    slow_vdd1v0 
AOI21X2            20      13.680      1.610     1905.485    slow_vdd1v0 
AOI221X2          272     302.328     24.242    12010.541    slow_vdd1v0 
AOI22X2           889     836.105     81.961    41970.165    slow_vdd1v0 
AOI2BB1X1          24      12.312      0.934     1259.826    slow_vdd1v0 
AOI2BB1X2           4       3.078      0.282      214.809    slow_vdd1v0 
AOI2BB1XL           1       0.513      0.028       19.109    slow_vdd1v0 
BUFX2            1593     681.007     86.013    61175.734    slow_vdd1v0 
BUFX3             106      54.378      9.429     3210.448    slow_vdd1v0 
BUFX4               1       0.599      0.115       45.729    slow_vdd1v0 
BUFX6               1       0.769      0.187       71.121    slow_vdd1v0 
BUFX8              13      12.226      3.081      965.050    slow_vdd1v0 
CLKAND2X12          5       9.405      2.049      563.600    slow_vdd1v0 
CLKAND2X3          18      13.851      1.854      725.937    slow_vdd1v0 
CLKAND2X8           2       2.907      0.542      209.714    slow_vdd1v0 
CLKBUFX2           30      12.825      1.658      984.911    slow_vdd1v0 
CLKBUFX4            1       0.599      0.115       45.866    slow_vdd1v0 
CLKINVX1            9       2.308      0.188       85.745    slow_vdd1v0 
CLKINVX12         472     484.272    139.711    26878.752    slow_vdd1v0 
CLKINVX16         280     383.040    110.831    21961.423    slow_vdd1v0 
CLKINVX2            2       0.684      0.085       26.755    slow_vdd1v0 
CLKINVX20          73     118.589     36.389     7009.718    slow_vdd1v0 
CLKINVX4         3634    1553.535    341.064    65704.983    slow_vdd1v0 
CLKINVX6          376     225.036     54.349    10712.906    slow_vdd1v0 
CLKINVX8          287     220.846     55.605    10687.873    slow_vdd1v0 
CLKMX2X12          17      27.617      5.935     2313.689    slow_vdd1v0 
CLKMX2X4            9       9.234      1.227      523.730    slow_vdd1v0 
CLKMX2X6           18      20.007      3.367     1384.640    slow_vdd1v0 
CLKMX2X8           20      29.070      4.725     1906.870    slow_vdd1v0 
CLKXOR2X1       11341    7757.244    714.894   307765.374    slow_vdd1v0 
CLKXOR2X2          24      20.520      2.055      788.348    slow_vdd1v0 
CLKXOR2X4          40      44.460      5.893     2206.994    slow_vdd1v0 
CLKXOR2X8         145     210.757     35.847    13354.121    slow_vdd1v0 
DFFRHQX1           63      96.957      8.479    18773.960    slow_vdd1v0 
INVX1           18140    3101.940    377.140    99021.217    slow_vdd1v0 
INVX2            7353    1886.044    317.295    70390.760    slow_vdd1v0 
INVX3             860     294.120     58.483    12229.207    slow_vdd1v0 
INVX4             110      47.025     10.318     2253.587    slow_vdd1v0 
INVX6             308     184.338     44.522     8504.960    slow_vdd1v0 
INVX8             145     111.578     28.089     5470.849    slow_vdd1v0 
INVXL            5016     857.736     53.227    16574.347    slow_vdd1v0 
MX2X6               1       1.111      0.187       77.289    slow_vdd1v0 
MXI2X6             17      21.802      3.729     1620.207    slow_vdd1v0 
MXI2X8             19      29.241      5.102     2175.449    slow_vdd1v0 
NAND2BX1          887     303.354     30.483    20143.409    slow_vdd1v0 
NAND2BX2           68      40.698      4.493     5558.185    slow_vdd1v0 
NAND2BX4            8       7.524      1.092      544.996    slow_vdd1v0 
NAND2X1           367      94.136     10.139     5789.655    slow_vdd1v0 
NAND2X2           191      81.653     10.314     9420.994    slow_vdd1v0 
NAND2X4            53      45.315      6.126     2460.011    slow_vdd1v0 
NAND3BX2            1       0.769      0.066       42.364    slow_vdd1v0 
NAND3X2             4       2.736      0.229       46.796    slow_vdd1v0 
NOR2BX1            97      33.174      3.438     3771.394    slow_vdd1v0 
NOR2BX2             4       2.736      0.291      888.633    slow_vdd1v0 
NOR2BX4            52      48.906      6.525     3409.236    slow_vdd1v0 
NOR2X1            407     104.395     10.073     3872.304    slow_vdd1v0 
NOR2X2             56      23.940      3.046     4503.565    slow_vdd1v0 
NOR2X4             23      17.698      2.644     2120.713    slow_vdd1v0 
NOR2X6             22      22.572      3.873     1179.250    slow_vdd1v0 
NOR2X8             25      34.200      5.914     1778.662    slow_vdd1v0 
NOR2XL              1       0.257      0.013       19.963    slow_vdd1v0 
NOR3BX2             8       6.840      0.520     1062.987    slow_vdd1v0 
NOR3X2              5       3.420      0.263       43.733    slow_vdd1v0 
NOR4BX2             1       1.197      0.047        7.040    slow_vdd1v0 
NOR4X2              4       3.420      0.217       40.891    slow_vdd1v0 
NOR4X4              4       6.498      0.459       80.873    slow_vdd1v0 
OA21X1            106      54.378      4.253     4011.414    slow_vdd1v0 
OA22X1             46      27.531      1.993     1488.069    slow_vdd1v0 
OAI21X1           770     329.175     26.561    25172.763    slow_vdd1v0 
OAI21X2           502     386.289     36.152    30691.883    slow_vdd1v0 
OAI21X4            11      13.167      1.700      819.220    slow_vdd1v0 
OAI22X1             2       1.026      0.085       57.059    slow_vdd1v0 
OAI22X2         19602   16759.710   1748.120  1067378.847    slow_vdd1v0 
OAI22X4            54      87.723     10.233     5801.963    slow_vdd1v0 
OAI2BB1X1        1774     758.385     81.254    97520.699    slow_vdd1v0 
OAI2BB1X2         190     146.205     14.416    12807.633    slow_vdd1v0 
OAI2BB1X4           3       3.334      0.485      383.817    slow_vdd1v0 
OAI2BB2X2         337     461.016     36.681    30729.546    slow_vdd1v0 
OR2X1            1062     363.204     37.842    26937.376    slow_vdd1v0 
OR2X2              58      24.795      3.341     1513.293    slow_vdd1v0 
OR2X4             121      82.764     14.657     6037.765    slow_vdd1v0 
OR2X6              50      47.025      9.922     3874.630    slow_vdd1v0 
OR2X8              63      70.024     15.720     6075.526    slow_vdd1v0 
OR4X1               1       0.513      0.044      172.394    slow_vdd1v0 
SDFFRHQX1         101     207.252     17.719    63845.063    slow_vdd1v0 
SDFFRX2            27      73.872      5.735    12562.929    slow_vdd1v0 
XNOR2X1         36545   21872.183   2310.452  1284104.416    slow_vdd1v0 
XNOR2X2            15      11.542      1.283      480.381    slow_vdd1v0 
XNOR2X4            30      28.215      4.691     1721.088    slow_vdd1v0 
XOR2X2              3       2.565      0.257       97.750    slow_vdd1v0 
XOR2X4            121     124.146     18.921     7029.745    slow_vdd1v0 
-------------------------------------------------------------------------
total          159475  111772.696  10938.174  8521410.335                


                                             Leakage  Leakage   Internal  Internal 
     Type      Instances    Area    Area % Power (nW) Power %  Power (nW)  Power % 
-----------------------------------------------------------------------------------
sequential           191    378.081    0.3     31.933     0.3   95181.953      1.1 
inverter           37065   9471.091    8.5   1627.295    14.9  357513.083      4.2 
buffer              1745    762.403    0.7    100.598     0.9   66498.859      0.8 
logic             120474 101161.120   90.5   9178.348    83.9 8002216.440     93.9 
physical_cells         0      0.000    0.0      0.000     0.0       0.000      0.0 
-----------------------------------------------------------------------------------
total             159475 111772.696  100.0  10938.174   100.0 8521410.335    100.0 

