circuit;area;power;timing;mape;mae;accuracy
DRUMs_4;273.629;282196.000;181.896;0.0;0.0;1.0
LOBA0s_4;266.011;274505.000;182.310;1.0;6.0;0.0
DRUMs_8;1076.330;1061890.000;273.986;9997991172762520.0;133.86;0.0
LOBA0s_8;1068.319;1035710.000;273.613;0.96;16.72;0.04
DRUMs_8;0.0000;0.0000;0.0000;0.0;0.0;1.0
LOBA0s_8;0.0000;0.0000;0.0000;1.0;6.0;0.0
DRUMs_8;0.0000;0.0000;0.0000;0.0;0.0;1.0
DRUMs_8;0.0000;0.0000;0.0000;0.0;0.0;1.0
DRUMs_8;0.0000;0.0000;0.0000;0.0;0.0;1.0
DRUMs_8;0.0000;0.0000;0.0000;11.0;66.0;0.0
DRUMs_8;0.0000;0.0000;0.0000;;15.65;
DRUMs_8;0.0000;0.0000;0.0000;;17.05;
DRUMs_8;0.0000;0.0000;0.0000;;7.5;
DRUMs_8;0.0000;0.0000;0.0000;;0.95;
DRUMs_8;0.0000;0.0000;0.0000;;1.3;
