circuit;area;power;timing;mape;mae;accuracy
DRUMs_4_copyA_1;100.565;98641.200;203.728;0.06200993819198223;240.76331100790068;0.02768338149972848
DRUMs_4_copyA_2;99.533;98708.900;200.937;0.06324668901402794;240.82204330796512;0.015562344973451103
DRUMs_4_copyA_3;97.518;97058.000;208.307;0.06626728110186299;240.96827694863458;0.009613427046615735
DRUMs_4_copyA_4;96.584;91860.400;212.905;0.07385050734696424;241.37993434299446;0.006733279905864639
DRUMs_4_eta1_1;102.236;101063.000;207.907;0.06155644045088947;240.74069572436576;0.05100117484392496
DRUMs_4_eta1_2;98.845;89499.100;195.773;0.06237315858068133;240.77293725229362;0.03496792652834783
DRUMs_4_eta1_3;101.450;94406.000;210.275;0.0645415409462761;240.87318010821775;0.025010458060361118
DRUMs_4_eta1_4;93.487;86397.400;214.219;0.07057248768379094;241.24506843658122;0.017755959276131127
DRUMs_4_loa_1;98.451;96564.600;207.186;0.06149461990225448;240.73875511851782;0.05100117484392496
DRUMs_4_loa_2;98.697;92200.700;208.819;0.06178744859281331;240.74897274930828;0.04674605432897526
DRUMs_4_loa_3;92.750;87805.200;210.497;0.06270941385531924;240.78730794175297;0.0407775824970611
DRUMs_4_loa_4;93.684;86109.900;217.231;0.06547865118754817;240.9317402385326;0.03351068367546407
DRUMs_4_trunc0_1;100.565;101714.000;207.993;0.06215143048887783;240.76720509655843;0.025729898689906244
DRUMs_4_trunc0_2;96.731;91535.900;212.416;0.06407797615138049;240.84846778759427;0.012628066900347755
DRUMs_4_trunc0_3;88.572;85933.200;201.638;0.06971867048628762;241.1007083938655;0.006896865014206687
DRUMs_4_trunc0_4;89.358;81129.300;194.771;0.08655620091135696;242.04052439519563;0.004229426206751665
DRUMs_5_copyA_1;116.392;113015.000;226.504;0.02849598863844883;120.65416635592054;0.0728903408060847
DRUMs_5_copyA_2;119.046;116838.000;223.969;0.03030480173771254;120.80391397641;0.038423960019894905
DRUMs_5_copyA_3;113.050;114316.000;218.021;0.034399014742723985;121.1348175581906;0.021152377203413612
DRUMs_5_copyA_4;112.558;114403.000;217.065;0.04335063920023929;121.92354101190148;0.012586336005362539
DRUMs_5_eta1_1;113.295;117155.000;224.176;0.027891103000040326;120.59833137227935;0.13497446635574764
DRUMs_5_eta1_2;117.031;114158.000;221.189;0.02927118292211897;120.7052573714198;0.08638348915947598
DRUMs_5_eta1_3;116.146;117985.000;222.093;0.032824719944951786;121.01139354779556;0.05326275088986662
DRUMs_5_eta1_4;108.675;105871.000;226.034;0.037730643347439266;121.71015556502648;0.03505711141248766
DRUMs_5_loa_1;119.095;121182.000;217.905;0.027764934731416176;120.59054081034125;0.13497446635574764
DRUMs_5_loa_2;124.551;126963.000;217.362;0.028303431206524177;120.63052759237834;0.1176659218894223
DRUMs_5_loa_3;117.178;117631.000;222.872;0.029947205256292422;120.76979288897203;0.0932729022281496
DRUMs_5_loa_4;113.345;115435.000;215.760;0.03324777679611466;121.13047611433859;0.07121657422379193
DRUMs_5_trunc0_1;109.904;111857.000;218.401;0.028780714812910866;120.66977084909793;0.06507640956679575
DRUMs_5_trunc0_2;106.807;103018.000;219.633;0.03182894809369875;120.90366655393363;0.026699963151619727
DRUMs_5_trunc0_3;115.360;118467.000;223.041;0.040297148502886536;121.57264952373424;0.010379367816287247
DRUMs_5_trunc0_4;109.019;110633.000;222.336;0.05798288446701566;123.42879680947038;0.005436402920852648
DRUMs_6_copyA_1;146.473;142950.000;209.161;0.011300302677652299;54.815898493294114;0.1957253494261972
DRUMs_6_copyA_2;139.739;138228.000;212.657;0.013622227648201552;55.210396143636075;0.09929693576595836
DRUMs_6_copyA_3;140.820;138078.000;211.111;0.018463757166617228;56.02266440675986;0.051077244303926586
DRUMs_6_copyA_4;138.510;134459.000;211.600;0.028382511136140168;57.73984733527072;0.02695535622892925
DRUMs_6_eta1_1;121.897;117867.000;215.795;0.010565418471754741;54.68398975733067;0.35740657510789076
DRUMs_6_eta1_2;143.573;139108.000;212.841;0.012684834934266009;55.05647447979906;0.20628827356485516
DRUMs_6_eta1_3;138.658;136152.000;214.202;0.015941829569391566;55.76214999478662;0.12525999092770343
DRUMs_6_eta1_4;142.344;138467.000;211.679;0.02203693797355588;57.09125837308052;0.08442094478388554
DRUMs_6_loa_1;141.951;137795.000;209.402;0.010360796467238458;54.65276741708951;0.35740657510789076
DRUMs_6_loa_2;144.458;140518.000;215.948;0.01123134427617186;54.810911770574506;0.28761344171204456
DRUMs_6_loa_3;139.739;133000.000;209.358;0.01315056360458273;55.20096257674684;0.21976926034313646
DRUMs_6_loa_4;134.775;130914.000;211.287;0.01697212015672561;56.013912841925816;0.16903212283333938
DRUMs_6_trunc0_1;141.853;138824.000;209.358;0.011755910338092137;54.878376558492434;0.16446962446904143
DRUMs_6_trunc0_2;139.100;136889.000;218.713;0.01606427761216483;55.59748906397185;0.05240953293411175
DRUMs_6_trunc0_3;137.282;134969.000;213.448;0.02518871850057538;57.25352693130135;0.01588939595900667
DRUMs_6_trunc0_4;136.249;131179.000;211.840;0.0441001846243755;60.88094420084531;0.006396690430026738
