circuit,area,power,timing,mape,mae,accuracy
LOBA0s_4_copyA_1,44.581,43080.200,130.105,0.060811468689431034,275.31651399418735,0.052152589852131344
LOBA0s_4_copyA_2,43.991,41997.900,129.195,0.0623163490705623,275.42292634562614,0.027251645583324286
LOBA0s_4_copyA_3,41.779,42087.500,127.683,0.06577625682443579,275.6552191071699,0.014926723827261994
LOBA0s_4_copyA_4,40.600,38311.800,123.724,0.07394516375413526,276.2043900543831,0.008791805339921091
LOBA0s_4_eta1_1,45.072,44437.400,129.223,0.06021271751714407,275.2688849737361,0.10099538319185666
LOBA0s_4_eta1_2,44.925,42411.600,129.192,0.06103186712831343,275.3121644426186,0.0721996348785151
LOBA0s_4_eta1_3,43.450,42805.700,128.330,0.06305674656665927,275.4298260125718,0.054787359330369365
LOBA0s_4_eta1_4,43.155,41040.900,126.585,0.06824448682411141,275.79504884392605,0.04201913623843555
LOBA0s_4_loa_1,45.269,44377.700,124.505,0.060150896968509095,275.26694436788813,0.10099538319185666
LOBA0s_4_loa_2,44.384,42538.300,125.635,0.06043306602060241,275.27691876717637,0.09661817000129307
LOBA0s_4_loa_3,42.566,42301.700,127.683,0.061302141512123376,275.3154313755403,0.08943115603581059
LOBA0s_4_loa_4,40.944,41002.900,124.910,0.06381617967246873,275.4553171509269,0.07916201739784857
LOBA0s_4_trunc0_1,44.728,43601.900,130.104,0.06095296098632663,275.3204080828451,0.05019910704230911
LOBA0s_4_trunc0_2,42.959,41642.800,128.266,0.06306939251654857,275.4475232505172,0.024319990595048583
LOBA0s_4_trunc0_3,45.416,44698.100,127.195,0.0686450842524842,275.76980117553546,0.011994830376729231
LOBA0s_4_trunc0_4,43.500,43050.700,122.228,0.08385018080289428,276.7194742527234,0.006066420204000884
LOBA0s_5_copyA_1,63.996,62555.800,142.416,0.023046463810634497,111.38163016733553,0.12782620250703716
LOBA0s_5_copyA_2,62.079,60319.700,141.195,0.025096416800827765,111.63989051482392,0.0653331141865191
LOBA0s_5_copyA_3,60.506,58754.000,146.529,0.029537823155435385,112.17851189178488,0.033992019741336414
LOBA0s_5_copyA_4,58.982,57062.800,141.803,0.03892687406659119,113.34412303507845,0.01838585732815083
LOBA0s_5_eta1_1,64.586,62439.500,142.406,0.022310004999509445,111.27025827787446,0.24601954329350834
LOBA0s_5_eta1_2,64.733,64538.300,151.628,0.02363607764985811,111.4020215518611,0.16937395847883258
LOBA0s_5_eta1_3,63.848,64054.900,156.242,0.026858248953051934,111.76460389064287,0.11818398114288163
LOBA0s_5_eta1_4,63.799,63250.400,150.103,0.03250873429075808,112.62630609504164,0.08380153907117639
LOBA0s_5_loa_1,64.242,62777.200,145.795,0.022183836730885295,111.26246771593637,0.24601954329350834
LOBA0s_5_loa_2,62.472,60715.200,141.185,0.02270122765423118,111.30196755804454,0.22846681347595524
LOBA0s_5_loa_3,61.440,59486.300,146.529,0.024238874317096527,111.44934200215177,0.19968084211515308
LOBA0s_5_loa_4,60.211,58227.900,141.803,0.02760270211417977,111.86649833615941,0.16636671095506936
LOBA0s_5_trunc0_1,63.799,62652.500,145.795,0.02333118998509653,111.39723466051291,0.12001227126774823
LOBA0s_5_trunc0_2,61.293,59496.700,141.180,0.026481422382654884,111.73598794287136,0.05361174040307156
LOBA0s_5_trunc0_3,58.638,56722.200,146.529,0.0344896839485276,112.59529431697345,0.022270884420145937
LOBA0s_5_trunc0_4,55.837,53688.000,142.776,0.05212604037808704,114.77252530874453,0.009579923099499033
LOBA0s_6_copyA_1,97.075,97538.200,166.638,0.006757717008886325,32.22558052593209,0.28311282430345325
LOBA0s_6_copyA_2,94.618,95007.400,167.367,0.009234083254954867,32.793907623179315,0.1425097544476639
LOBA0s_6_copyA_3,87.589,85497.000,162.179,0.01427571323003137,33.946165833926656,0.07221418107619566
LOBA0s_6_copyA_4,92.258,92304.100,166.456,0.024489737613098212,36.313167951411884,0.03706961363093184
LOBA0s_6_eta1_1,98.009,99187.900,167.938,0.005931490602079157,32.0057803251111,0.5331662547529253
LOBA0s_6_eta1_2,90.980,92952.200,165.888,0.007893571992120258,32.41635033157879,0.33786185082600045
LOBA0s_6_eta1_3,98.304,97397.500,166.226,0.01142804887206292,33.30728729330613,0.21884939218653376
LOBA0s_6_eta1_4,97.714,94286.700,165.359,0.01771933103832645,35.121808368987914,0.14722868405259212
LOBA0s_6_loa_1,97.616,97640.300,166.638,0.0057268685975628755,31.97455798486993,0.5331662547529253
LOBA0s_6_loa_2,95.158,95713.400,166.115,0.006556996075561538,32.13172559695002,0.4628847506546236
LOBA0s_6_loa_3,90.292,88595.900,161.960,0.008504135390742004,32.576027520452165,0.37891288991634325
LOBA0s_6_loa_4,84.689,82395.000,160.151,0.012411923139005406,33.61123033230371,0.30030237610350646
LOBA0s_6_trunc0_1,96.977,97465.700,166.633,0.007213324669326162,32.28805859113041,0.25185709934629746
LOBA0s_6_trunc0_2,89.309,88587.700,160.615,0.0114407986762519,33.17369024456272,0.0956261670119302
LOBA0s_6_trunc0_3,91.079,92114.400,168.470,0.020653240749609305,35.240858504664,0.03314452487975093
LOBA0s_6_trunc0_4,88.621,88666.000,167.254,0.03980909499289065,39.82737478749287,0.01167433710324277
