arquitecture;percent_utilization;computes;cycles;cycle_seconds;latency;per_component_energy;per_component_area;variables;area;energy;computes_per_second;computes_per_second_per_square_meter;computes_per_joule;acesses
1_neurons_2_macs;100.0;4480;2240;1e-09;2.24e-06;{'MACC': 3.7856e-09, 'Input_Port': 2.08768e-11, 'GlobalBuffer': 2.48695104e-08, 'inter_MACC_spatial': 0};{'GlobalBuffer': 1.72045e-07, 'Input_Port': 5.980000000000001e-12, 'inter_MACC_spatial': 1e-12, 'MACC': 9.3275e-10};Specification[variables].Variables={'version': '0.4'};1.7298473e-07;2.86759872e-08;2000000000.0;1.1561714146676414e+16;156228274505.57657;
1_neurons_4_macs;100.0;4480;1120;1e-09;1.12e-06;{'MACC': 3.7856e-09, 'Input_Port': 1.04384e-11, 'GlobalBuffer': 1.0914534400000001e-08, 'inter_MACC_spatial': 0};{'GlobalBuffer': 3.5497e-07, 'Input_Port': 5.980000000000001e-12, 'inter_MACC_spatial': 1e-12, 'MACC': 1.8655e-09};Specification[variables].Variables={'version': '0.4'};3.5684248e-07;1.4710572800000001e-08;4000000000.0;1.1209427756471146e+16;304542865931.0941;
1_neurons_8_macs;87.5;4480;640;1e-09;6.4e-07;{'MACC': 3.7856e-09, 'Input_Port': 1.008e-11, 'GlobalBuffer': 5.231116800000001e-09, 'inter_MACC_spatial': 0};{'GlobalBuffer': 7.34043e-07, 'Input_Port': 5.980000000000001e-12, 'inter_MACC_spatial': 1e-12, 'MACC': 3.731e-09};Specification[variables].Variables={'version': '0.4'};7.3778098e-07;9.0267968e-09;7000000000.0;9487910626267432.0;496300082882.11383;
2_neurons_2_macs;50.0;4480;2240;1e-09;2.24e-06;{'MACC': 3.7856e-09, 'Input_Port': 2.08768e-11, 'GlobalBuffer': 2.0909683199999998e-08, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 3.5497e-07, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 1.1960000000000002e-11, 'inter_MACC_spatial': 2e-12, 'MACC': 1.8655e-09};Specification[variables].Variables={'version': '0.4'};3.5685046e-07;2.471616e-08;2000000000.0;5604588543895950.0;181257930034.43903;
2_neurons_4_macs;50.0;4480;1120;1e-09;1.12e-06;{'MACC': 3.7856e-09, 'Input_Port': 1.04384e-11, 'GlobalBuffer': 1.298864e-08, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 7.34043e-07, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 1.1960000000000002e-11, 'inter_MACC_spatial': 2e-12, 'MACC': 3.731e-09};Specification[variables].Variables={'version': '0.4'};7.3778896e-07;1.67846784e-08;4000000000.0;5421604573752364.0;266910088667.53143;
2_neurons_8_macs;43.75;4480;640;1e-09;6.4e-07;{'MACC': 3.7856e-09, 'Input_Port': 1.008e-11, 'GlobalBuffer': 5.8955008e-09, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 1.51479e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 1.1960000000000002e-11, 'inter_MACC_spatial': 2e-12, 'MACC': 7.462e-09};Specification[variables].Variables={'version': '0.4'};1.52226696e-06;9.6911808e-09;7000000000.0;4598404999869405.0;462275969508.27704;
4_neurons_2_macs;25.0;4480;2240;1e-09;2.24e-06;{'MACC': 3.7856e-09, 'Input_Port': 2.08768e-11, 'GlobalBuffer': 2.49256448e-08, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 7.34043e-07, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 2.3920000000000003e-11, 'inter_MACC_spatial': 4e-12, 'MACC': 3.731e-09};Specification[variables].Variables={'version': '0.4'};7.3780292e-07;2.87321216e-08;2000000000.0;2710750995672394.5;155923048856.92813;
4_neurons_4_macs;25.0;4480;1120;1e-09;1.12e-06;{'MACC': 3.7856e-09, 'Input_Port': 1.04384e-11, 'GlobalBuffer': 1.50208128e-08, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 1.51479e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 2.3920000000000003e-11, 'inter_MACC_spatial': 4e-12, 'MACC': 7.462e-09};Specification[variables].Variables={'version': '0.4'};1.52228092e-06;1.8816851199999998e-08;4000000000.0;2627635903102562.5;238084467607.4178;
4_neurons_8_macs;21.88;4480;640;1e-09;6.4e-07;{'MACC': 3.7856e-09, 'Input_Port': 1.008e-11, 'GlobalBuffer': 7.964768e-09, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 3.34831e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 2.3920000000000003e-11, 'inter_MACC_spatial': 4e-12, 'MACC': 1.4924e-08};Specification[variables].Variables={'version': '0.4'};3.3632629200000002e-06;1.1760448e-08;7000000000.0;2081312156231901.0;380937869033.5606;
8_neurons_2_macs;43.75;4480;640;1e-09;6.4e-07;{'MACC': 3.7856e-09, 'Input_Port': 9.79776e-11, 'GlobalBuffer': 5.8955008e-09, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 1.51479e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 4.7840000000000006e-11, 'inter_MACC_spatial': 8e-12, 'MACC': 7.462e-09};Specification[variables].Variables={'version': '0.4'};1.5223088400000001e-06;9.7790784e-09;7000000000.0;4598278493869877.0;458120879775.3375;
8_neurons_4_macs;87.5;4480;160;1e-09;1.6e-07;{'MACC': 3.7856e-09, 'Input_Port': 1.21856e-11, 'GlobalBuffer': 2.3287891199999998e-08, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 3.34831e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 4.7840000000000006e-11, 'inter_MACC_spatial': 8e-12, 'MACC': 1.4924e-08};Specification[variables].Variables={'version': '0.4'};3.36329084e-06;2.7085676799999998e-08;28000000000.0;8325179513764561.0;165401072791.35812;
8_neurons_8_macs;54.69;4480;128;1e-09;1.28e-07;{'MACC': 3.7856e-09, 'Input_Port': 1.01248e-11, 'GlobalBuffer': 7.377888e-09, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 7.61792e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 4.7840000000000006e-11, 'inter_MACC_spatial': 8e-12, 'MACC': 2.9848e-08};Specification[variables].Variables={'version': '0.4'};7.64782484e-06;1.11736128e-08;35000000000.0;4576464646122832.0;400944625537.76697;
16_neurons_2_macs;21.88;4480;640;1e-09;6.4e-07;{'MACC': 3.7856e-09, 'Input_Port': 9.79776e-11, 'GlobalBuffer': 7.964768e-09, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 3.34831e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 9.568000000000001e-11, 'inter_MACC_spatial': 1.6e-11, 'MACC': 1.4924e-08};Specification[variables].Variables={'version': '0.4'};3.36334668e-06;1.1848345599999999e-08;7000000000.0;2081260323720182.2;378111860612.84375;
16_neurons_4_macs;43.75;4480;160;1e-09;1.6e-07;{'MACC': 3.7856e-09, 'Input_Port': 1.21856e-11, 'GlobalBuffer': 3.0869216e-08, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 7.61792e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 9.568000000000001e-11, 'inter_MACC_spatial': 1.6e-11, 'MACC': 2.9848e-08};Specification[variables].Variables={'version': '0.4'};7.64788068e-06;3.46670016e-08;28000000000.0;3661144985332067.0;129229520674.78485;
16_neurons_8_macs;27.34;4480;128;1e-09;1.28e-07;{'MACC': 3.7856e-09, 'Input_Port': 1.01248e-11, 'GlobalBuffer': 1.5681926399999997e-08, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 1.85842e-05, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 9.568000000000001e-11, 'inter_MACC_spatial': 1.6e-11, 'MACC': 5.9696e-08};Specification[variables].Variables={'version': '0.4'};1.864400868e-05;1.94776512e-08;35000000000.0;1877278679747965.0;230007199225.33575;
