arquitecture;percent_utilization;computes;cycles;cycle_seconds;latency;area;energy;computes_per_second;computes_per_second_per_square_meter;computes_per_joule;acesses;per_component_energy;per_component_area;variables
1_neurons_2_macs_4_width;100.0;4480;2240;1e-09;2.24e-06;8.6297618e-08;1.7190521599999998e-08;2000000000.0;2.3175610710367464e+16;260608729871.23325;;{'MACC': 1.0051775999999999e-09, 'Input_Port': 2.08768e-11, 'GlobalBuffer': 1.61644672e-08, 'inter_MACC_spatial': 0};{'GlobalBuffer': 8.60227e-08, 'Input_Port': 5.980000000000001e-12, 'inter_MACC_spatial': 1e-12, 'MACC': 2.67938e-10};Specification[variables].Variables={'version': '0.4'}
1_neurons_2_macs_6_width;100.0;4480;2240;1e-09;2.24e-06;1.2959171399999998e-07;2.27114496e-08;2000000000.0;1.543308548261041e+16;197257334027.67917;;{'MACC': 2.1735168000000004e-09, 'Input_Port': 2.08768e-11, 'GlobalBuffer': 2.0517056e-08, 'inter_MACC_spatial': 0};{'GlobalBuffer': 1.29034e-07, 'Input_Port': 5.980000000000001e-12, 'inter_MACC_spatial': 1e-12, 'MACC': 5.507340000000001e-10};Specification[variables].Variables={'version': '0.4'}
1_neurons_2_macs_16_width;100.0;4480;2240;1e-09;2.24e-06;3.5842998e-07;5.6476448e-08;2000000000.0;5579890387517250.0;79325102031.91249;;{'MACC': 1.4672e-08, 'Input_Port': 2.08768e-11, 'GlobalBuffer': 4.17835712e-08, 'inter_MACC_spatial': 0};{'GlobalBuffer': 3.5497e-07, 'Input_Port': 5.980000000000001e-12, 'inter_MACC_spatial': 1e-12, 'MACC': 3.453e-09};Specification[variables].Variables={'version': '0.4'}
1_neurons_4_macs_4_width;100.0;4480;1120;1e-09;1.12e-06;1.72587856e-07;7.529312000000001e-09;4000000000.0;2.317660171872116e+16;595007883854.4609;;{'MACC': 1.0051775999999999e-09, 'Input_Port': 1.04384e-11, 'GlobalBuffer': 6.513696e-09, 'inter_MACC_spatial': 0};{'GlobalBuffer': 1.72045e-07, 'Input_Port': 5.980000000000001e-12, 'inter_MACC_spatial': 1e-12, 'MACC': 5.35876e-10};Specification[variables].Variables={'version': '0.4'}
1_neurons_4_macs_6_width;100.0;4480;1120;1e-09;1.12e-06;2.67571448e-07;1.00715328e-08;4000000000.0;1.4949278145701106e+16;444818091641.4232;;{'MACC': 2.1735168000000004e-09, 'Input_Port': 1.04384e-11, 'GlobalBuffer': 7.8875776e-09, 'inter_MACC_spatial': 0};{'GlobalBuffer': 2.66463e-07, 'Input_Port': 5.980000000000001e-12, 'inter_MACC_spatial': 1e-12, 'MACC': 1.1014680000000001e-09};Specification[variables].Variables={'version': '0.4'}
1_neurons_4_macs_16_width;100.0;4480;1120;1e-09;1.12e-06;7.4095598e-07;4.0650848e-08;4000000000.0;5398431361603965.0;110206803065.95326;;{'MACC': 1.4672e-08, 'Input_Port': 1.04384e-11, 'GlobalBuffer': 2.5968409600000003e-08, 'inter_MACC_spatial': 0};{'GlobalBuffer': 7.34043e-07, 'Input_Port': 5.980000000000001e-12, 'inter_MACC_spatial': 1e-12, 'MACC': 6.906e-09};Specification[variables].Variables={'version': '0.4'}
1_neurons_8_macs_4_width;87.5;4480;640;1e-09;6.4e-07;3.56048732e-07;3.2347391999999997e-09;7000000000.0;1.966023010580473e+16;1384964821893.524;;{'MACC': 1.0051775999999999e-09, 'Input_Port': 1.008e-11, 'GlobalBuffer': 2.2194816e-09, 'inter_MACC_spatial': 0};{'GlobalBuffer': 3.5497e-07, 'Input_Port': 5.980000000000001e-12, 'inter_MACC_spatial': 1e-12, 'MACC': 1.071752e-09};Specification[variables].Variables={'version': '0.4'}
1_neurons_8_macs_6_width;87.5;4480;640;1e-09;6.4e-07;5.41705916e-07;5.802182400000001e-09;7000000000.0;1.2922140580794396e+16;772123261757.5068;;{'MACC': 2.1735168000000004e-09, 'Input_Port': 1.008e-11, 'GlobalBuffer': 3.6185856000000003e-09, 'inter_MACC_spatial': 0};{'GlobalBuffer': 5.39496e-07, 'Input_Port': 5.980000000000001e-12, 'inter_MACC_spatial': 1e-12, 'MACC': 2.2029360000000002e-09};Specification[variables].Variables={'version': '0.4'}
1_neurons_8_macs_16_width;87.5;4480;640;1e-09;6.4e-07;1.52860898e-06;2.6332096e-08;7000000000.0;4579326754969083.0;170134576449.97192;;{'MACC': 1.4672e-08, 'Input_Port': 1.008e-11, 'GlobalBuffer': 1.1650016e-08, 'inter_MACC_spatial': 0};{'GlobalBuffer': 1.51479e-06, 'Input_Port': 5.980000000000001e-12, 'inter_MACC_spatial': 1e-12, 'MACC': 1.3812e-08};Specification[variables].Variables={'version': '0.4'}
2_neurons_2_macs_4_width;50.0;4480;2240;1e-09;2.24e-06;1.72595836e-07;1.34715392e-08;2000000000.0;1.1587765072153884e+16;332552942428.43463;;{'MACC': 1.0051775999999999e-09, 'Input_Port': 2.08768e-11, 'GlobalBuffer': 1.24454848e-08, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 1.72045e-07, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 1.1960000000000002e-11, 'inter_MACC_spatial': 2e-12, 'MACC': 5.35876e-10};Specification[variables].Variables={'version': '0.4'}
